model,model_label,snap_current,snap_next,z_current,z_next,z_mid,dt_yr,mass_bin_left_msun,mass_bin_right_msun,mass_bin_center_msun,n_halos,mean_mass_current_msun,median_mass_current_msun,mean_dM200c_dt_msun_yr,median_dM200c_dt_msun_yr,std_dM200c_dt_msun_yr,sem_dM200c_dt_msun_yr,p16_dM200c_dt_msun_yr,p84_dM200c_dt_msun_yr,negative_fraction,correa2015_mean_dMdt_msun_yr,mean_over_correa
BT_soft,BT kp=1,48,49,1.0717968600643704,0.8834516909676096,0.97762427551599,784054791.209321,316000000000.0,1000000000000.0,562138772902.2078,236,536181593345.3835,486266994476.31836,59.48298418678563,34.39964523836255,135.68078401632536,8.832066756054887,-17.850426318658855,126.0859869130782,0.24152542372881355,81.16876423201641,0.7328309695187278
BT_soft,BT kp=1,49,50,0.8834516909676096,0.7122288099705543,0.7978402504690819,873244859.7008324,100000000.0,316000000.0,177763888.34631178,117512,242478889.63413647,237566456.19869232,0.004518570937449409,0.0033537195314126047,0.029991756578155462,8.749047888073036e-05,-0.011008238120059832,0.018392301387334047,0.39622336442235684,0.029377465696254525,0.1538107808266628
BT_soft,BT kp=1,49,50,0.8834516909676096,0.7122288099705543,0.7978402504690819,873244859.7008324,316000000.0,1000000000.0,562138772.9022079,132176,539977960.2468117,489718411.1177921,0.012845340708527875,0.009019862903973929,0.07034782460658215,0.00019349705954928347,-0.017066857266980675,0.03826732866005458,0.34472218859702214,0.06542088685666334,0.19634922920980755
BT_soft,BT kp=1,49,50,0.8834516909676096,0.7122288099705543,0.7978402504690819,873244859.7008324,1000000000.0,3160000000.0,1777638883.4631178,47586,1703617346.464388,1547106355.4286957,0.054871981789035185,0.03681090542003618,0.2365688514052942,0.001084471045398977,-0.03660500966357382,0.1256484911576608,0.27157147060059683,0.20640130871110643,0.2658509392778987
BT_soft,BT kp=1,49,50,0.8834516909676096,0.7122288099705543,0.7978402504690819,873244859.7008324,3160000000.0,10000000000.0,5621387729.0220785,17134,5400851288.093101,4904241114.854813,0.22341939729893454,0.1387494405387697,0.8143915447127098,0.006221625625907234,-0.10123918576314336,0.4501159040254745,0.24314229018326136,0.6543387083548831,0.34144303927953196
BT_soft,BT kp=1,49,50,0.8834516909676096,0.7122288099705543,0.7978402504690819,873244859.7008324,10000000000.0,31600000000.0,17776388834.631176,5847,17052753045.861895,15397331714.630127,0.9764151460306973,0.5246659351182011,3.003985618432308,0.039285411107275535,-0.25921932408375103,1.758287482950587,0.23037455105182145,2.066021781885382,0.472606414216821
BT_soft,BT kp=1,49,50,0.8834516909676096,0.7122288099705543,0.7978402504690819,873244859.7008324,31600000000.0,100000000000.0,56213877290.22079,2054,53586581044.675316,48624389171.60034,3.4153334418574888,1.9319758873511115,10.205682722793092,0.22518623671659202,-1.3186392877856647,6.351476663767235,0.24342745861733203,6.492268043600809,0.5260616812061323
BT_soft,BT kp=1,49,50,0.8834516909676096,0.7122288099705543,0.7978402504690819,873244859.7008324,100000000000.0,316000000000.0,177763888346.31177,714,167245296456.90063,148392920494.0796,14.811410354234507,7.153342106918773,37.45318276108045,1.4016501374280073,-2.3110801776599605,23.657466292807932,0.21288515406162464,20.262559627091036,0.7309743007212008
BT_soft,BT kp=1,49,50,0.8834516909676096,0.7122288099705543,0.7978402504690819,873244859.7008324,316000000000.0,1000000000000.0,562138772902.2078,244,532622398782.949,483109607696.5332,59.79937280287591,29.473072797572204,126.45134975164426,8.095218142751955,-10.606036516825494,104.17861209187865,0.23770491803278687,64.5297257543201,0.9266949782267205
BT_soft,BT kp=1,50,51,0.7122288099705543,0.5565716454277756,0.6344002276991649,964738966.0656586,100000000.0,316000000.0,177763888.34631178,112940,242579550.6403293,237654261.29102707,0.0032272411100088437,0.002373323773349933,0.026003271295864456,7.737561169377652e-05,-0.00985837347053862,0.01512914938878899,0.4126792987426952,0.023655268562009772,0.1364280055222782
